Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
1,1,2,780000000.0,780000000,Taylor Swift,The Eras Tour,20232024,56,13928571,1.0
2,1,72,579800000.0,579800000,Beyoncé,Renaissance World Tour,2023,56,10353571,3.0
3,14,25,411000000.0,560622615,Madonna,Sticky & Sweet Tour 4a,20082009,85,4835294,6.0
4,27,107,397300000.0,454751555,Pink,Beautiful Trauma World Tour,20182019,156,2546795,7.0
5,24,nan,345675146.0,402844849,Taylor Swift,Reputation Stadium Tour,2018,53,6522173,8.0
6,24,109,305158363.0,388978496,Madonna,The MDNA Tour,2012,88,3467709,9.0
7,210,nan,280000000.0,381932682,Celine Dion,Taking Chances World Tour,20082009,131,2137405,11.0
7,nan,nan,257600000.0,257600000,Pink,Summer Carnival,20232024,41,6282927,12.0
9,nan,nan,256084556.0,312258401,Beyoncé,The Formation World Tour,2016,49,5226215,13.0
10,nan,nan,250400000.0,309141878,Taylor Swift,The 1989 World Tour,2015,85,2945882,14.0
12,nan,1417,227400000.0,295301479,Lady Gaga,The Monster Ball Tour,20092011,203,1118227,18.0
13,nan,nan,204000000.0,251856802,Katy Perry,Prismatic World Tour,20142015,151,1350993,19.0
14,120,nan,200000000.0,299676265,Cher,Living Proof: The Farewell Tour 21a,20022005,325,615385,20.0
15,2c,nan,194000000.0,281617035,Madonna,Confessions Tour,2006,60,3233333,5.0
16,nan,nan,184000000.0,227452347,Pink,The Truth About Love Tour,20132014,142,1295775,22.0
18,nan,nan,169800000.0,207046755,Madonna,Rebel Heart Tour,20152016,82,2070732,4.0
20,nan,nan,150000000.0,185423109,Taylor Swift,The Red Tour,20132014,86,1744186,26.0
